FP,f1,C,TN,target,solver,timestamp,MCC,TP,log_loss,roc50,random_state,accuracy,classifier,FN,class_weight,probability,kernel,classifier_arguments,coef0,degree,batch_num,rocNOT50,gamma,TNR,TPR,bagging,bedroc,criterion,cv1_folds,cv2_folds,max_depth,n_estimators,n_jobs,sample
39,0.8849557522123894,1.2,111,0.8849557522123894,lbfgs,2018-07-19 13:09:19.271420,0.3141125063837266,6,0.45212021036867145,0.9338888888888889,6907069,0.75,LogisticRegression,0,balanced,,,,,,,,,,,,,,,,,,,
20,0.6122448979591837,1.2,130,0.6122448979591837,lbfgs,2018-07-19 13:09:19.271420,0.1988854199402068,3,0.9963421349943712,0.5766666666666667,4513838,0.8525641025641025,LogisticRegression,3,balanced,,,,,,,,,,,,,,,,,,,
29,0.8026755852842808,1.2,121,0.8026755852842808,lbfgs,2018-07-19 13:09:19.271420,0.2618447554176427,4,0.5094668816999366,0.8360000000000001,6621373,0.8064516129032258,LogisticRegression,1,balanced,,,,,,,,,,,,,,,,,,,
25,0.8135593220338982,1.2,125,0.8135593220338982,lbfgs,2018-07-19 13:09:19.271420,0.2869318156158801,4,0.7312623966868856,0.7806666666666667,1001372,0.832258064516129,LogisticRegression,1,balanced,,,,,,,,,,,,,,,,,,,
28,0.8053691275167786,1.2,122,0.8053691275167786,lbfgs,2018-07-19 13:09:19.271420,0.26773161337833834,4,0.4979897863185548,0.8580000000000001,1363503,0.8129032258064516,LogisticRegression,1,balanced,,,,,,,,,,,,,,,,,,,
1,0.0,1,149,0.0,,2018-07-20 17:21,,0,2.2287691054716636,0.7527777777777778,8445566,0.9551282051282052,SVC,6,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 8445566, 'coef0': 0, 'gamma': 0.7, 'class_weight': 'balanced'}",0,2,4985,0.7527777777777778,0.7,,,,,,,,,,,
0,0.6666666666666666,1,150,0.6666666666666666,,2018-07-20 17:22,,3,0.5346957278272888,0.9872222222222223,366023,0.9807692307692307,SVC,3,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 366023, 'coef0': 0.5, 'gamma': 0.2, 'class_weight': 'balanced'}",0.5,2,4985,0.9872222222222223,0.2,,,,,,,,,,,
2,0.32967032967032966,0.3,148,0.32967032967032966,,2018-07-20 17:22,,1,1.2149092210958203,0.8140000000000001,8164853,0.9612903225806452,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 8164853, 'coef0': 0, 'gamma': 0.7, 'class_weight': 'balanced'}",0,2,4985,0.8140000000000001,0.7,,,,,,,,,,,
0,0.0,1,150,0.0,,2018-07-20 17:22,,0,0.818588845590555,0.97,7524715,0.967741935483871,SVC,5,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 7524715, 'coef0': 0.5, 'gamma': 0.2, 'class_weight': 'balanced'}",0.5,2,4985,0.97,0.2,,,,,,,,,,,
0,0.0,0.3,150,0.0,,2018-07-20 17:23,,0,0.9880507404515136,0.9413333333333334,5207932,0.967741935483871,SVC,5,balanced,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 5207932, 'coef0': 0, 'gamma': 0.7, 'class_weight': 'balanced'}",0,2,4985,0.9413333333333334,0.7,,,,,,,,,,,
